C:\Users\FABLabLaptop3\Desktop\exports\NDAR_INV7B7LHAU0\Emo_Nback_RecMem_CDbox_20160815_v1-7B7LHAU0-1.edat2
ExperimentName	Subject	Session	Allowed	Clock.Information	DataFile.Basename	ExperimentVersion	FontStyle	Group	Handedness	Main.RefreshRate	NARGUID	NewResp	OldResp	RandomSeed	RunNumber	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StimuliDir	StudioVersion	SUBID	Block	Fix.Duration[Block]	Fix.DurationError[Block]	Fix.FinishTime[Block]	Fix.OnsetDelay[Block]	Fix.OnsetTime[Block]	Fix.OnsetToOnsetTime[Block]	Fix.StartTime[Block]	GetReady.Duration	GetReady.DurationError	GetReady.FinishTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.OnsetToOnsetTime	GetReady.RESP	GetReady.StartTime	Instruction1.DurationError	Instruction1.OnsetDelay	Instruction1.OnsetTime	Instruction1.OnsetToOnsetTime	Instruction2.DurationError	Instruction2.OnsetDelay	Instruction2.OnsetTime	Instruction2.OnsetToOnsetTime	Instruction7.DurationError	Instruction7.OnsetDelay	Instruction7.OnsetTime	Instruction7.OnsetToOnsetTime	Instruction8.DurationError	Instruction8.OnsetDelay	Instruction8.OnsetTime	Instruction8.OnsetToOnsetTime	Instruction9.DurationError	Instruction9.OnsetDelay	Instruction9.OnsetTime	Instruction9.OnsetToOnsetTime	IntroButtonMap.Duration	IntroButtonMap.DurationError	IntroButtonMap.FinishTime	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.OnsetToOnsetTime	IntroButtonMap.RESP	IntroButtonMap.StartTime	Practice	PreStimFix.Duration[Block]	PreStimFix.DurationError[Block]	PreStimFix.FinishTime[Block]	PreStimFix.OnsetDelay[Block]	PreStimFix.OnsetTime[Block]	PreStimFix.OnsetToOnsetTime[Block]	PreStimFix.StartTime[Block]	Procedure[Block]	Run1	Run2	Running[Block]	Stim.ACC[Block]	Stim.CRESP[Block]	Stim.Duration[Block]	Stim.DurationError[Block]	Stim.FinishTime[Block]	Stim.OnsetDelay[Block]	Stim.OnsetTime[Block]	Stim.OnsetToOnsetTime[Block]	Stim.RESP[Block]	Stim.RT[Block]	Stim.RTTime[Block]	Stim.StartTime[Block]	StimType[Block]	Stimulus[Block]	v1ProcList	v1ProcList.Cycle	v1ProcList.Sample	VFDuration[Block]	Trial	CorrectResponse	Fix.Duration[Trial]	Fix.DurationError[Trial]	Fix.FinishTime[Trial]	Fix.OnsetDelay[Trial]	Fix.OnsetTime[Trial]	Fix.OnsetToOnsetTime[Trial]	Fix.StartTime[Trial]	PracticeList	PracticeList.Cycle	PracticeList.Sample	PreStimFix.Duration[Trial]	PreStimFix.DurationError[Trial]	PreStimFix.FinishTime[Trial]	PreStimFix.OnsetDelay[Trial]	PreStimFix.OnsetTime[Trial]	PreStimFix.OnsetToOnsetTime[Trial]	PreStimFix.StartTime[Trial]	Procedure[Trial]	ReadyList	ReadyList.Cycle	ReadyList.Sample	Running[Trial]	Stim.ACC[Trial]	Stim.CRESP[Trial]	Stim.Duration[Trial]	Stim.DurationError[Trial]	Stim.FinishTime[Trial]	Stim.OnsetDelay[Trial]	Stim.OnsetTime[Trial]	Stim.OnsetToOnsetTime[Trial]	Stim.RESP[Trial]	Stim.RT[Trial]	Stim.RTTime[Trial]	Stim.StartTime[Trial]	StimType[Trial]	Stimulus[Trial]	SyncSlide.Duration	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.OnsetToOnsetTime	SyncSlide.RESP	SyncSlide.StartTime	SyncSlideDur	VFDuration[Trial]
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-01T01:16:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">620144463559</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-01T01:16:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v1-7B7LHAU0-1	1.0.0.427	Verdana	1	Right	60.005	7B7LHAU0	2	1	1669607238	1	Professional	2.0.10.356	2.0.10.356	02-28-2018	3/1/2018 1:16:19 AM	20:16:19	REC Stimuli\	2.0.10.252	000	1																-999999	73	15128	0	-999999	35	68058	0	-999999	29	74724	0	-999999	20	83340	0	-999999	17	102139	0									1								PracticePROC			v1ProcList															1	1	1		1	2	1000	-16	94090	16	93106	1000	93091	1	1	1	1000	4	90111	23	90106	984	90084	RecMemPracticeTrialsPROC				PracticeList	1		2000	0	93090	7	91090	2016		0	0	90114	newposface	PracticeRec4.bmp										1000
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-01T01:16:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">620144463559</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-01T01:16:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v1-7B7LHAU0-1	1.0.0.427	Verdana	1	Right	60.005	7B7LHAU0	2	1	1669607238	1	Professional	2.0.10.356	2.0.10.356	02-28-2018	3/1/2018 1:16:19 AM	20:16:19	REC Stimuli\	2.0.10.252	000	1																-999999	73	15128	0	-999999	35	68058	0	-999999	29	74724	0	-999999	20	83340	0	-999999	17	102139	0									1								PracticePROC			v1ProcList															1	1	1		2	1	1000	-16	100106	16	99122	1000	99107	2	1	2	1000	4	96127	17	96123	983	96109	RecMemPracticeTrialsPROC				PracticeList	0		2000	0	99106	0	97106	2016	1	1184	98290	96130	oldposface	PracticeHO2.bmp										4000
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-01T01:16:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">620144463559</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-01T01:16:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v1-7B7LHAU0-1	1.0.0.427	Verdana	1	Right	60.005	7B7LHAU0	2	1	1669607238	1	Professional	2.0.10.356	2.0.10.356	02-28-2018	3/1/2018 1:16:19 AM	20:16:19	REC Stimuli\	2.0.10.252	000	2								2000	-19	120052	19	118171	1983		118153																					-1	-999999	118153	28	108555	0	{SPACE}	108531									TRSyncPROC			v1ProcList															2	1	2		1																			InitialTR	4	1	1	ReadyList														+	1000	-2	121052	2	120154	0		120053	1000	
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-01T01:16:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">620144463559</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-01T01:16:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v1-7B7LHAU0-1	1.0.0.427	Verdana	1	Right	60.005	7B7LHAU0	2	1	1669607238	1	Professional	2.0.10.356	2.0.10.356	02-28-2018	3/1/2018 1:16:19 AM	20:16:19	REC Stimuli\	2.0.10.252	000	3	1000	-16	125154	16	124170	0	124155																																						1000	4	121159	2	121154	1000	121056	RecMemTrialsPROC	1		v1ProcList	1	2	2000	0	124154	2	122154	2016	2	671	122825	121162	newneutface	AF219_NC.bmp	3	1	3	1000																																																
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-01T01:16:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">620144463559</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-01T01:16:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v1-7B7LHAU0-1	1.0.0.427	Verdana	1	Right	60.005	7B7LHAU0	2	1	1669607238	1	Professional	2.0.10.356	2.0.10.356	02-28-2018	3/1/2018 1:16:19 AM	20:16:19	REC Stimuli\	2.0.10.252	000	4	1000	-16	129154	16	128170	0	128155																																						1000	4	125175	16	125170	984	125157	RecMemTrialsPROC	2		v1ProcList	1	2	2000	0	128154	0	126154	2016	2	1163	127317	125178	newplace	PL_056_TUFTS02BW.bmp	3	1	4	0																																																
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-01T01:16:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">620144463559</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-01T01:16:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v1-7B7LHAU0-1	1.0.0.427	Verdana	1	Right	60.005	7B7LHAU0	2	1	1669607238	1	Professional	2.0.10.356	2.0.10.356	02-28-2018	3/1/2018 1:16:19 AM	20:16:19	REC Stimuli\	2.0.10.252	000	5	1000	-17	133170	17	132187	0	132171																																						1000	4	129175	16	129170	1000	129157	RecMemTrialsPROC	3		v1ProcList	0	1	2000	0	132170	16	130170	2017	2	864	131034	129178	oldneutface	AM228_NC.bmp	3	1	5	4000																																																
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-01T01:16:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">620144463559</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-01T01:16:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v1-7B7LHAU0-1	1.0.0.427	Verdana	1	Right	60.005	7B7LHAU0	2	1	1669607238	1	Professional	2.0.10.356	2.0.10.356	02-28-2018	3/1/2018 1:16:19 AM	20:16:19	REC Stimuli\	2.0.10.252	000	6	1000	-16	137170	16	136186	0	136171																																						1000	5	133191	16	133186	984	133172	RecMemTrialsPROC	4		v1ProcList	0	1	2000	0	136170	0	134170	2016	2	1166	135336	133195	oldplace	PL_001_92012.bmp	3	1	6	3000																																																
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-01T01:16:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">620144463559</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-01T01:16:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v1-7B7LHAU0-1	1.0.0.427	Verdana	1	Right	60.005	7B7LHAU0	2	1	1669607238	1	Professional	2.0.10.356	2.0.10.356	02-28-2018	3/1/2018 1:16:19 AM	20:16:19	REC Stimuli\	2.0.10.252	000	7	1000	-17	141186	17	140203	0	140187																																						1000	4	137191	16	137186	1000	137172	RecMemTrialsPROC	5		v1ProcList	1	2	2000	0	140186	16	138186	2017	2	1004	139190	137194	newposface	AM01_HO.bmp	3	1	7	4000																																																
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-01T01:16:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">620144463559</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-01T01:16:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v1-7B7LHAU0-1	1.0.0.427	Verdana	1	Right	60.005	7B7LHAU0	2	1	1669607238	1	Professional	2.0.10.356	2.0.10.356	02-28-2018	3/1/2018 1:16:19 AM	20:16:19	REC Stimuli\	2.0.10.252	000	8	1000	-16	145186	16	144202	0	144187																																						1000	4	141207	17	141203	983	141189	RecMemTrialsPROC	6		v1ProcList	0	1	2000	0	144186	0	142186	2016	2	833	143019	141210	oldplace	PL_009_92037.bmp	3	1	8	2000																																																
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-01T01:16:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">620144463559</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-01T01:16:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v1-7B7LHAU0-1	1.0.0.427	Verdana	1	Right	60.005	7B7LHAU0	2	1	1669607238	1	Professional	2.0.10.356	2.0.10.356	02-28-2018	3/1/2018 1:16:19 AM	20:16:19	REC Stimuli\	2.0.10.252	000	9	1000	-17	149202	17	148219	0	148203																																						1000	4	145207	16	145202	1000	145188	RecMemTrialsPROC	7		v1ProcList	0	1	2000	0	148202	16	146202	2017	2	768	146970	145210	oldnegface	HM03_FO.bmp	3	1	9	3000																																																
