C:\Users\FABLabLaptop3\Desktop\ABCD fMRI Tasks\Siemens_Phillips_ABCD_20171202\Siemens_Phillips_ABCD_20171202\Emo_Nback\RecMem\Emo_Nback_RecMem_CDbox_20160815_v4-C96FRWYB-1.edat2
ExperimentName	Subject	Session	Allowed	Clock.Information	DataFile.Basename	ExperimentVersion	FontStyle	Group	Handedness	Main.RefreshRate	NARGUID	NewResp	OldResp	RandomSeed	RunNumber	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StimuliDir	StudioVersion	SUBID	Block	Fix.Duration[Block]	Fix.DurationError[Block]	Fix.FinishTime[Block]	Fix.OnsetDelay[Block]	Fix.OnsetTime[Block]	Fix.OnsetToOnsetTime[Block]	Fix.StartTime[Block]	GetReady.Duration	GetReady.DurationError	GetReady.FinishTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.OnsetToOnsetTime	GetReady.RESP	GetReady.StartTime	Instruction1.DurationError	Instruction1.OnsetDelay	Instruction1.OnsetTime	Instruction1.OnsetToOnsetTime	Instruction2.DurationError	Instruction2.OnsetDelay	Instruction2.OnsetTime	Instruction2.OnsetToOnsetTime	Instruction7.DurationError	Instruction7.OnsetDelay	Instruction7.OnsetTime	Instruction7.OnsetToOnsetTime	Instruction8.DurationError	Instruction8.OnsetDelay	Instruction8.OnsetTime	Instruction8.OnsetToOnsetTime	Instruction9.DurationError	Instruction9.OnsetDelay	Instruction9.OnsetTime	Instruction9.OnsetToOnsetTime	IntroButtonMap.Duration	IntroButtonMap.DurationError	IntroButtonMap.FinishTime	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.OnsetToOnsetTime	IntroButtonMap.RESP	IntroButtonMap.StartTime	Practice	PreStimFix.Duration[Block]	PreStimFix.DurationError[Block]	PreStimFix.FinishTime[Block]	PreStimFix.OnsetDelay[Block]	PreStimFix.OnsetTime[Block]	PreStimFix.OnsetToOnsetTime[Block]	PreStimFix.StartTime[Block]	Procedure[Block]	Run7	Run8	Running[Block]	Stim.ACC[Block]	Stim.CRESP[Block]	Stim.Duration[Block]	Stim.DurationError[Block]	Stim.FinishTime[Block]	Stim.OnsetDelay[Block]	Stim.OnsetTime[Block]	Stim.OnsetToOnsetTime[Block]	Stim.RESP[Block]	Stim.RT[Block]	Stim.RTTime[Block]	Stim.StartTime[Block]	StimType[Block]	Stimulus[Block]	v4ProcList	v4ProcList.Cycle	v4ProcList.Sample	VFDuration[Block]	Trial	CorrectResponse	Fix.Duration[Trial]	Fix.DurationError[Trial]	Fix.FinishTime[Trial]	Fix.OnsetDelay[Trial]	Fix.OnsetTime[Trial]	Fix.OnsetToOnsetTime[Trial]	Fix.StartTime[Trial]	PracticeList	PracticeList.Cycle	PracticeList.Sample	PreStimFix.Duration[Trial]	PreStimFix.DurationError[Trial]	PreStimFix.FinishTime[Trial]	PreStimFix.OnsetDelay[Trial]	PreStimFix.OnsetTime[Trial]	PreStimFix.OnsetToOnsetTime[Trial]	PreStimFix.StartTime[Trial]	Procedure[Trial]	ReadyList	ReadyList.Cycle	ReadyList.Sample	Running[Trial]	Stim.ACC[Trial]	Stim.CRESP[Trial]	Stim.Duration[Trial]	Stim.DurationError[Trial]	Stim.FinishTime[Trial]	Stim.OnsetDelay[Trial]	Stim.OnsetTime[Trial]	Stim.OnsetToOnsetTime[Trial]	Stim.RESP[Trial]	Stim.RT[Trial]	Stim.RTTime[Trial]	Stim.StartTime[Trial]	StimType[Trial]	Stimulus[Trial]	SyncSlide.Duration	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.OnsetToOnsetTime	SyncSlide.RESP	SyncSlide.StartTime	SyncSlideDur	VFDuration[Trial]
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-07T23:30:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1679524285530</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-07T23:30:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v4-C96FRWYB-1	1.0.0.427	Verdana	1	Right	60.005	C96FRWYB	2	1	192486315	4	Professional	2.0.10.356	2.0.10.356	02-07-2018		18:30:16	REC Stimuli\	2.0.10.252	000	1																-999999	74	99204	0	-999999	37	138884	0	-999999	34	147634	0	-999999	16	158399	0	-999999	17	174465	0									1								PracticePROC			v4ProcList															1	1	1		1	2	1000	-16	166416	16	165432	1000	165417	1	1	1	1000	5	162437	22	162432	984	162412	RecMemPracticeTrialsPROC				PracticeList	0		2000	0	165416	6	163416	2016	2	1215	164631	162440	newposface	PracticeRec4.bmp										1000
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-07T23:30:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1679524285530</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-07T23:30:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v4-C96FRWYB-1	1.0.0.427	Verdana	1	Right	60.005	C96FRWYB	2	1	192486315	4	Professional	2.0.10.356	2.0.10.356	02-07-2018		18:30:16	REC Stimuli\	2.0.10.252	000	1																-999999	74	99204	0	-999999	37	138884	0	-999999	34	147634	0	-999999	16	158399	0	-999999	17	174465	0									1								PracticePROC			v4ProcList															1	1	1		2	1	1000	-16	172432	16	171448	1000	171433	2	1	2	1000	4	168453	17	168449	983	168435	RecMemPracticeTrialsPROC				PracticeList	0		2000	0	171432	0	169432	2016	1	1821	171253	168456	oldposface	PracticeHO2.bmp										4000
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-07T23:30:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1679524285530</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-07T23:30:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v4-C96FRWYB-1	1.0.0.427	Verdana	1	Right	60.005	C96FRWYB	2	1	192486315	4	Professional	2.0.10.356	2.0.10.356	02-07-2018		18:30:16	REC Stimuli\	2.0.10.252	000	2								2000	-13	195167	13	193280	2000		193268																					-1	-999999	193268	29	181698	0	{SPACE}	181673									TRSyncPROC			v4ProcList															2	1	2		1																			InitialTR	4	1	1	ReadyList														+	1000	-13	196167	13	195280	0		195168	1000	
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-07T23:30:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1679524285530</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-07T23:30:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v4-C96FRWYB-1	1.0.0.427	Verdana	1	Right	60.005	C96FRWYB	2	1	192486315	4	Professional	2.0.10.356	2.0.10.356	02-07-2018		18:30:16	REC Stimuli\	2.0.10.252	000	3	1000	-16	200280	16	199296	0	199281																																						1000	4	196285	13	196280	1000	196171	RecMemTrialsPROC	1		v4ProcList	0	2	2000	0	199280	13	197280	2016	1	1122	198402	196288	newnegface	HM03_FO.bmp	3	1	3	1000																																																
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-07T23:30:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1679524285530</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-07T23:30:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v4-C96FRWYB-1	1.0.0.427	Verdana	1	Right	60.005	C96FRWYB	2	1	192486315	4	Professional	2.0.10.356	2.0.10.356	02-07-2018		18:30:16	REC Stimuli\	2.0.10.252	000	4	1000	-16	204280	16	203296	0	203281																																						1000	4	200301	16	200296	984	200282	RecMemTrialsPROC	2		v4ProcList	1	1	2000	0	203280	0	201280	2016	1	1495	202775	200304	oldposface	HF02_HO.bmp	3	1	4	3000																																																
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-07T23:30:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1679524285530</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-07T23:30:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v4-C96FRWYB-1	1.0.0.427	Verdana	1	Right	60.005	C96FRWYB	2	1	192486315	4	Professional	2.0.10.356	2.0.10.356	02-07-2018		18:30:16	REC Stimuli\	2.0.10.252	000	5	1000	-17	208296	17	207313	0	207297																																						1000	4	204301	16	204296	1000	204283	RecMemTrialsPROC	3		v4ProcList	1	1	2000	0	207296	16	205296	2017	1	1010	206306	204304	oldnegface	43M_FO.bmp	3	1	5	4000																																																
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-07T23:30:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1679524285530</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-07T23:30:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v4-C96FRWYB-1	1.0.0.427	Verdana	1	Right	60.005	C96FRWYB	2	1	192486315	4	Professional	2.0.10.356	2.0.10.356	02-07-2018		18:30:16	REC Stimuli\	2.0.10.252	000	6	1000	-16	212296	16	211312	0	211297																																						1000	5	208317	16	208312	984	208299	RecMemTrialsPROC	4		v4ProcList	1	2	2000	0	211296	0	209296	2016	2	1000	210296	208320	newplace	PL_001_92012.bmp	3	1	6	4000																																																
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-07T23:30:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1679524285530</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-07T23:30:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v4-C96FRWYB-1	1.0.0.427	Verdana	1	Right	60.005	C96FRWYB	2	1	192486315	4	Professional	2.0.10.356	2.0.10.356	02-07-2018		18:30:16	REC Stimuli\	2.0.10.252	000	7	1000	-17	216312	17	215329	0	215313																																						1000	4	212317	16	212312	1000	212299	RecMemTrialsPROC	5		v4ProcList	1	2	2000	0	215312	16	213312	2017	2	1227	214539	212320	newplace	PL_009_92037.bmp	3	1	7	0																																																
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-07T23:30:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1679524285530</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-07T23:30:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v4-C96FRWYB-1	1.0.0.427	Verdana	1	Right	60.005	C96FRWYB	2	1	192486315	4	Professional	2.0.10.356	2.0.10.356	02-07-2018		18:30:16	REC Stimuli\	2.0.10.252	000	8	1000	-16	220312	16	219328	0	219313																																						1000	4	216333	17	216329	983	216315	RecMemTrialsPROC	6		v4ProcList	0	1	2000	0	219312	0	217312	2016	2	1133	218445	216336	oldneutface	LM211_NC.bmp	3	1	8	3000																																																
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-07T23:30:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1679524285530</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-07T23:30:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v4-C96FRWYB-1	1.0.0.427	Verdana	1	Right	60.005	C96FRWYB	2	1	192486315	4	Professional	2.0.10.356	2.0.10.356	02-07-2018		18:30:16	REC Stimuli\	2.0.10.252	000	9	1000	-17	224328	17	223345	0	223329																																						1000	5	220333	16	220328	1000	220315	RecMemTrialsPROC	7		v4ProcList	1	1	2000	0	223328	16	221328	2017	1	1018	222346	220337	oldposface	20M_HO.bmp	3	1	9	2000																																																
