C:\Users\FabLabtop5\Desktop\ABCD fMRI Tasks\Siemens_Phillips_ABCD_20171202\Siemens_Phillips_ABCD_20171202\Emo_Nback\Scanner\Emo_Nback_20160913_v4-C96FRWYB-1.edat2																																																																																																																																																										
ExperimentName	Subject	Session	Allowed	Clock.Information	ConsecNonResp[Session]	ConsecRTLess200[Session]	DataFile.Basename	ExperimentVersion	FontStyle	Group	Handedness	Main.RefreshRate	NARGUID	Nontarget	RandomSeed	RunNumber	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	RunTrialNumber[Session]	SessionDate	SessionStartDateTimeUtc	SessionTime	StimuliDir	StudioVersion	SUBID	Target	TotalRespGreater200[Session]	TrialsPerRun[Session]	triggercode	Block	BlockType	ConsecNonResp[Block]	ConsecRTLess200[Block]	ConsecSameResp	ControlAcc	CorrectResponse	Cue2Back.Duration	Cue2Back.DurationError	Cue2Back.FinishTime	Cue2Back.OffsetDelay	Cue2Back.OffsetTime	Cue2Back.OnsetDelay	Cue2Back.OnsetTime	Cue2Back.OnsetToOnsetTime	Cue2Back.StartTime	CueFix.Duration	CueFix.DurationError	CueFix.FinishTime	CueFix.OffsetDelay	CueFix.OffsetTime	CueFix.OnsetDelay	CueFix.OnsetTime	CueFix.OnsetToOnsetTime	CueFix.RTTime	CueFix.StartTime	CueTarget.Duration	CueTarget.DurationError	CueTarget.FinishTime	CueTarget.OffsetDelay	CueTarget.OffsetTime	CueTarget.OnsetDelay	CueTarget.OnsetTime	CueTarget.OnsetToOnsetTime	CueTarget.StartTime	Fix.Duration	Fix.DurationError	Fix.FinishTime	Fix.OffsetDelay	Fix.OffsetTime	Fix.OnsetDelay	Fix.OnsetTime	Fix.OnsetToOnsetTime	Fix.StartTime	Fix15sec.Duration	Fix15sec.DurationError	Fix15sec.FinishTime	Fix15sec.OffsetDelay	Fix15sec.OffsetTime	Fix15sec.OnsetDelay	Fix15sec.OnsetTime	Fix15sec.OnsetToOnsetTime	Fix15sec.StartTime	Procedure[Block]	Run7Block1	Run7Block2	Run7Block3	Run7Block4	Run7Block5	Run7Block6	Run7Block7	Run7Block8	Run8Block1	Run8Block2	Run8Block3	Run8Block4	Run8Block5	Run8Block6	Run8Block7	Run8Block8	Running[Block]	RunTrialNumber[Block]	Stim.ACC	Stim.CRESP	Stim.Duration	Stim.DurationError	Stim.FinishTime	Stim.OffsetDelay	Stim.OffsetTime	Stim.OnsetDelay	Stim.OnsetTime	Stim.OnsetToOnsetTime	Stim.RESP	Stim.RT	Stim.RTTime	Stim.StartTime	StimType	Stimulus	TargetType	TotalRespGreater200[Block]	TrialsPerRun[Block]	v4ProcList	v4ProcList.Cycle	v4ProcList.Sample	Trial	GetReady.DurationError	GetReady.OffsetDelay	GetReady.OffsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.OnsetToOnsetTime	GetReady.RTTime	GetReady2.DurationError	GetReady2.OffsetDelay	GetReady2.OffsetTime	GetReady2.OnsetDelay	GetReady2.OnsetTime	GetReady2.OnsetToOnsetTime	GetReady2.RTTime	Procedure[Trial]	Running[Trial]	SiemensPad.FinishTime	SiemensPad.OffsetDelay	SiemensPad.OffsetTime	SiemensPad.OnsetDelay	SiemensPad.OnsetTime	SiemensPad.OnsetToOnsetTime	SiemensPad.RTTime	Waiting4Scanner	Waiting4Scanner.Cycle	Waiting4Scanner.Sample	Waiting4Scanner2	Waiting4Scanner2.Cycle	Waiting4Scanner2.Sample
Emo_Nback_20160913	1	1	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-02-07T22:23:43Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2115882</Frequency><Timestamp dt:dt=""r8"">937669701413</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-02-07T22:23:43Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	0	0	Emo_Nback_20160913_v4-C96FRWYB-1	1.0.0.1178	Verdana	1	Right	59.945	C96FRWYB	2	1367238674	4	Professional	2.0.10.356	2.0.10.356	1	2/7/18		17:23:43	WM Stimuli\	2.0.10.252	0	1	0	160	{^}57{=}	1		0	0																																																		TRSyncPROC																	v4ProcList	1												DL-DH						0	160	1	1	1	1	-999999	-999999	374254	32	335178	0	374254								WaitScreen	Waiting4Scanner	380554	0	380554	21	374275	0	0	1	1	1			
Emo_Nback_20160913	1	1	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-02-07T22:23:43Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2115882</Frequency><Timestamp dt:dt=""r8"">937669701413</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-02-07T22:23:43Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	0	0	Emo_Nback_20160913_v4-C96FRWYB-1	1.0.0.1178	Verdana	1	Right	59.945	C96FRWYB	2	1367238674	4	Professional	2.0.10.356	2.0.10.356	1	2/7/18		17:23:43	WM Stimuli\	2.0.10.252	0	1	0	160	{^}57{=}	2		0	0													500	-5	381054	0	381054	5	380659	501	0	380557	2500	-6	383554	0	383554	6	381160	0	381056																			Cue0BackPROC																	v4ProcList	1									-1900							HF02_HO.bmp		0	160	2	1	2																														
Emo_Nback_20160913	1	1	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-02-07T22:23:43Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2115882</Frequency><Timestamp dt:dt=""r8"">937669701413</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-02-07T22:23:43Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	0	0	Emo_Nback_20160913_v4-C96FRWYB-1	1.0.0.1178	Verdana	1	Right	59.945	C96FRWYB	2	1367238674	4	Professional	2.0.10.356	2.0.10.356	1	2/7/18		17:23:43	WM Stimuli\	2.0.10.252	0	1	0	160	{^}57{=}	3	0-Back	0	0	1	100	2																													500	-17	386074	0	386074	17	385691	0	385576										TrialsPROC	1																v4ProcList	2	1	2	2000	0	385574	0	385574	20	383674	2017	2	1245	384919	383558	PosFace	29M_HO.bmp	nonlure	1	160	3	1	3																														
Emo_Nback_20160913	1	1	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-02-07T22:23:43Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2115882</Frequency><Timestamp dt:dt=""r8"">937669701413</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-02-07T22:23:43Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	0	0	Emo_Nback_20160913_v4-C96FRWYB-1	1.0.0.1178	Verdana	1	Right	59.945	C96FRWYB	2	1367238674	4	Professional	2.0.10.356	2.0.10.356	1	2/7/18		17:23:43	WM Stimuli\	2.0.10.252	0	1	0	160	{^}57{=}	4	0-Back	1	0	1	100	1																													500	-16	388591	0	388591	16	388207	0	388092										TrialsPROC	2																v4ProcList	3	1	1	2000	0	388091	0	388091	17	386191	2016	1	1173	387364	386079	PosFace	HF02_HO.bmp	target	1	160	3	1	4																														
Emo_Nback_20160913	1	1	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-02-07T22:23:43Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2115882</Frequency><Timestamp dt:dt=""r8"">937669701413</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-02-07T22:23:43Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	0	0	Emo_Nback_20160913_v4-C96FRWYB-1	1.0.0.1178	Verdana	1	Right	59.945	C96FRWYB	2	1367238674	4	Professional	2.0.10.356	2.0.10.356	1	2/7/18		17:23:43	WM Stimuli\	2.0.10.252	0	1	0	160	{^}57{=}	5	0-Back	0	0	1	100	2																													500	-17	391107	0	391107	17	390724	0	390609										TrialsPROC	3																v4ProcList	4	1	2	2000	0	390607	0	390607	16	388707	2017	2	931	389638	388596	PosFace	13F_HO.bmp	nonlure	2	160	3	1	5																														
Emo_Nback_20160913	1	1	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-02-07T22:23:43Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2115882</Frequency><Timestamp dt:dt=""r8"">937669701413</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-02-07T22:23:43Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	0	0	Emo_Nback_20160913_v4-C96FRWYB-1	1.0.0.1178	Verdana	1	Right	59.945	C96FRWYB	2	1367238674	4	Professional	2.0.10.356	2.0.10.356	1	2/7/18		17:23:43	WM Stimuli\	2.0.10.252	0	1	0	160	{^}57{=}	6	0-Back	0	0	2	100	2																													500	-16	393624	0	393624	16	393240	0	393126										TrialsPROC	4																v4ProcList	5	1	2	2000	0	393124	0	393124	17	391224	2016	2	700	391924	391112	PosFace	BM026_HO.bmp	nonlure	3	160	3	1	6																														
Emo_Nback_20160913	1	1	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-02-07T22:23:43Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2115882</Frequency><Timestamp dt:dt=""r8"">937669701413</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-02-07T22:23:43Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	0	0	Emo_Nback_20160913_v4-C96FRWYB-1	1.0.0.1178	Verdana	1	Right	59.945	C96FRWYB	2	1367238674	4	Professional	2.0.10.356	2.0.10.356	1	2/7/18		17:23:43	WM Stimuli\	2.0.10.252	0	1	0	160	{^}57{=}	7	0-Back	0	0	3	100	2																													500	0	396140	0	396140	0	395740	0	395642										TrialsPROC	5																v4ProcList	6	1	2	2000	0	395640	0	395640	16	393740	2000	2	657	394397	393629	PosFace	29M_HO.bmp	lure	4	160	3	1	7																														
Emo_Nback_20160913	1	1	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-02-07T22:23:43Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2115882</Frequency><Timestamp dt:dt=""r8"">937669701413</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-02-07T22:23:43Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	0	0	Emo_Nback_20160913_v4-C96FRWYB-1	1.0.0.1178	Verdana	1	Right	59.945	C96FRWYB	2	1367238674	4	Professional	2.0.10.356	2.0.10.356	1	2/7/18		17:23:43	WM Stimuli\	2.0.10.252	0	1	0	160	{^}57{=}	8	0-Back	0	0	4	100	2																													500	-16	398641	0	398641	16	398257	0	398143										TrialsPROC	6																v4ProcList	7	1	2	2000	0	398141	0	398141	1	396241	2016	2	711	396952	396145	PosFace	WM01_HO.bmp	nonlure	5	160	3	1	8																														
Emo_Nback_20160913	1	1	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-02-07T22:23:43Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2115882</Frequency><Timestamp dt:dt=""r8"">937669701413</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-02-07T22:23:43Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	0	0	Emo_Nback_20160913_v4-C96FRWYB-1	1.0.0.1178	Verdana	1	Right	59.945	C96FRWYB	2	1367238674	4	Professional	2.0.10.356	2.0.10.356	1	2/7/18		17:23:43	WM Stimuli\	2.0.10.252	0	1	0	160	{^}57{=}	9	0-Back	0	0	5	100	2																													500	-16	401157	0	401157	16	400773	0	400659										TrialsPROC	7																v4ProcList	8	1	2	2000	0	400657	0	400657	16	398757	2016	2	1167	399924	398646	PosFace	WM01_HO.bmp	lure	6	160	3	1	9																														
Emo_Nback_20160913	1	1	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-02-07T22:23:43Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2115882</Frequency><Timestamp dt:dt=""r8"">937669701413</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-02-07T22:23:43Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	0	0	Emo_Nback_20160913_v4-C96FRWYB-1	1.0.0.1178	Verdana	1	Right	59.945	C96FRWYB	2	1367238674	4	Professional	2.0.10.356	2.0.10.356	1	2/7/18		17:23:43	WM Stimuli\	2.0.10.252	0	1	0	160	{^}57{=}	10	0-Back	0	0	6	100	2																													500	-17	403673	0	403673	17	403290	0	403175										TrialsPROC	8																v4ProcList	9	1	2	2000	0	403173	0	403173	16	401273	2017	2	1002	402275	401162	PosFace	WF03_HO.bmp	nonlure	7	160	3	1	10																														
