C:\Users\FABLabLaptop3\Desktop\exports\NDAR_INVKGRR3WRJ\Emo_Nback_RecMem_CDbox_20160815_v3-KGRR3WRJ-1.edat2
ExperimentName	Subject	Session	Allowed	Clock.Information	DataFile.Basename	ExperimentVersion	FontStyle	Group	Handedness	Main.RefreshRate	NARGUID	NewResp	OldResp	RandomSeed	RunNumber	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StimuliDir	StudioVersion	SUBID	Block	Fix.Duration[Block]	Fix.DurationError[Block]	Fix.FinishTime[Block]	Fix.OnsetDelay[Block]	Fix.OnsetTime[Block]	Fix.OnsetToOnsetTime[Block]	Fix.StartTime[Block]	GetReady.Duration	GetReady.DurationError	GetReady.FinishTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.OnsetToOnsetTime	GetReady.RESP	GetReady.StartTime	Instruction1.DurationError	Instruction1.OnsetDelay	Instruction1.OnsetTime	Instruction1.OnsetToOnsetTime	Instruction2.DurationError	Instruction2.OnsetDelay	Instruction2.OnsetTime	Instruction2.OnsetToOnsetTime	Instruction7.DurationError	Instruction7.OnsetDelay	Instruction7.OnsetTime	Instruction7.OnsetToOnsetTime	Instruction8.DurationError	Instruction8.OnsetDelay	Instruction8.OnsetTime	Instruction8.OnsetToOnsetTime	Instruction9.DurationError	Instruction9.OnsetDelay	Instruction9.OnsetTime	Instruction9.OnsetToOnsetTime	IntroButtonMap.Duration	IntroButtonMap.DurationError	IntroButtonMap.FinishTime	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.OnsetToOnsetTime	IntroButtonMap.RESP	IntroButtonMap.StartTime	Practice	PreStimFix.Duration[Block]	PreStimFix.DurationError[Block]	PreStimFix.FinishTime[Block]	PreStimFix.OnsetDelay[Block]	PreStimFix.OnsetTime[Block]	PreStimFix.OnsetToOnsetTime[Block]	PreStimFix.StartTime[Block]	Procedure[Block]	Run5	Run6	Running[Block]	Stim.ACC[Block]	Stim.CRESP[Block]	Stim.Duration[Block]	Stim.DurationError[Block]	Stim.FinishTime[Block]	Stim.OnsetDelay[Block]	Stim.OnsetTime[Block]	Stim.OnsetToOnsetTime[Block]	Stim.RESP[Block]	Stim.RT[Block]	Stim.RTTime[Block]	Stim.StartTime[Block]	StimType[Block]	Stimulus[Block]	v3ProcList	v3ProcList.Cycle	v3ProcList.Sample	VFDuration[Block]	Trial	CorrectResponse	Fix.Duration[Trial]	Fix.DurationError[Trial]	Fix.FinishTime[Trial]	Fix.OnsetDelay[Trial]	Fix.OnsetTime[Trial]	Fix.OnsetToOnsetTime[Trial]	Fix.StartTime[Trial]	PracticeList	PracticeList.Cycle	PracticeList.Sample	PreStimFix.Duration[Trial]	PreStimFix.DurationError[Trial]	PreStimFix.FinishTime[Trial]	PreStimFix.OnsetDelay[Trial]	PreStimFix.OnsetTime[Trial]	PreStimFix.OnsetToOnsetTime[Trial]	PreStimFix.StartTime[Trial]	Procedure[Trial]	ReadyList	ReadyList.Cycle	ReadyList.Sample	Running[Trial]	Stim.ACC[Trial]	Stim.CRESP[Trial]	Stim.Duration[Trial]	Stim.DurationError[Trial]	Stim.FinishTime[Trial]	Stim.OnsetDelay[Trial]	Stim.OnsetTime[Trial]	Stim.OnsetToOnsetTime[Trial]	Stim.RESP[Trial]	Stim.RT[Trial]	Stim.RTTime[Trial]	Stim.StartTime[Trial]	StimType[Trial]	Stimulus[Trial]	SyncSlide.Duration	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.OnsetToOnsetTime	SyncSlide.RESP	SyncSlide.StartTime	SyncSlideDur	VFDuration[Trial]
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-04T22:00:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1326562158770</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-04T22:00:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v3-KGRR3WRJ-1	1.0.0.427	Verdana	1	Right	60.004	KGRR3WRJ	2	1	-582322568	3	Professional	2.0.10.356	2.0.10.356	03-04-2018		17:00:43	REC Stimuli\	2.0.10.252	000	1																-999999	74	28225	0	-999999	32	35641	0	-999999	39	48640	0	-999999	25	66722	0	-999999	17	81638	0									1								PracticePROC			v3ProcList															1	1	1		1	2	1000	-16	73589	16	72605	1000	72590	1	1	1	1000	4	69610	25	69605	984	69582	RecMemPracticeTrialsPROC				PracticeList	0		2000	0	72589	9	70589	2016	1	816	71405	69613	newposface	PracticeRec4.bmp										1000
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-04T22:00:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1326562158770</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-04T22:00:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v3-KGRR3WRJ-1	1.0.0.427	Verdana	1	Right	60.004	KGRR3WRJ	2	1	-582322568	3	Professional	2.0.10.356	2.0.10.356	03-04-2018		17:00:43	REC Stimuli\	2.0.10.252	000	1																-999999	74	28225	0	-999999	32	35641	0	-999999	39	48640	0	-999999	25	66722	0	-999999	17	81638	0									1								PracticePROC			v3ProcList															1	1	1		2	1	1000	-16	79605	16	78621	1000	78606	2	1	2	1000	4	75626	17	75622	983	75608	RecMemPracticeTrialsPROC				PracticeList	1		2000	0	78605	0	76605	2016		0	0	75629	oldposface	PracticeHO2.bmp										4000
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-04T22:00:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1326562158770</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-04T22:00:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v3-KGRR3WRJ-1	1.0.0.427	Verdana	1	Right	60.004	KGRR3WRJ	2	1	-582322568	3	Professional	2.0.10.356	2.0.10.356	03-04-2018		17:00:43	REC Stimuli\	2.0.10.252	000	2								2000	-22	125763	22	123885	1983		123864																					-1	-999999	123863	26	118218	0	{SPACE}	118196									TRSyncPROC			v3ProcList															2	1	2		1																			InitialTR	4	1	1	ReadyList														+	1000	-5	126763	5	125868	0		125764	1000	
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-04T22:00:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1326562158770</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-04T22:00:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v3-KGRR3WRJ-1	1.0.0.427	Verdana	1	Right	60.004	KGRR3WRJ	2	1	-582322568	3	Professional	2.0.10.356	2.0.10.356	03-04-2018		17:00:43	REC Stimuli\	2.0.10.252	000	3	1000	-16	130868	16	129884	0	129869																																						1000	4	126872	5	126868	1000	126766	RecMemTrialsPROC	1		v3ProcList	1	2	2000	0	129868	5	127868	2016	2	1099	128967	126876	newneutface	AM210_NC.bmp	3	1	3	0																																																
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-04T22:00:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1326562158770</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-04T22:00:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v3-KGRR3WRJ-1	1.0.0.427	Verdana	1	Right	60.004	KGRR3WRJ	2	1	-582322568	3	Professional	2.0.10.356	2.0.10.356	03-04-2018		17:00:43	REC Stimuli\	2.0.10.252	000	4	1000	-17	134884	17	133901	0	133885																																						1000	4	130889	16	130884	1000	130870	RecMemTrialsPROC	2		v3ProcList	1	2	2000	0	133884	16	131884	2017	2	1287	133171	130892	newplace	PL_041_LEXINGTON17.bmp	3	1	4	4000																																																
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-04T22:00:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1326562158770</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-04T22:00:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v3-KGRR3WRJ-1	1.0.0.427	Verdana	1	Right	60.004	KGRR3WRJ	2	1	-582322568	3	Professional	2.0.10.356	2.0.10.356	03-04-2018		17:00:43	REC Stimuli\	2.0.10.252	000	5	1000	-16	138884	16	137900	0	137885																																						1000	4	134905	17	134901	983	134887	RecMemTrialsPROC	3		v3ProcList	1	2	2000	0	137884	0	135884	2016	2	955	136839	134908	newplace	PL_043_LEXINGTON19.bmp	3	1	5	0																																																
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-04T22:00:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1326562158770</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-04T22:00:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v3-KGRR3WRJ-1	1.0.0.427	Verdana	1	Right	60.004	KGRR3WRJ	2	1	-582322568	3	Professional	2.0.10.356	2.0.10.356	03-04-2018		17:00:43	REC Stimuli\	2.0.10.252	000	6	1000	-16	142884	16	141900	0	141885																																						1000	4	138905	16	138900	984	138887	RecMemTrialsPROC	4		v3ProcList	1	2	2000	0	141884	0	139884	2016	2	1148	141032	138908	newnegface	BM023_FO.bmp	3	1	6	1000																																																
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-04T22:00:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1326562158770</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-04T22:00:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v3-KGRR3WRJ-1	1.0.0.427	Verdana	1	Right	60.004	KGRR3WRJ	2	1	-582322568	3	Professional	2.0.10.356	2.0.10.356	03-04-2018		17:00:43	REC Stimuli\	2.0.10.252	000	7	1000	-16	146900	16	145916	0	145901																																						1000	4	142905	16	142900	1000	142886	RecMemTrialsPROC	5		v3ProcList	0	1	2000	0	145900	16	143900	2016	2	1058	144958	142908	oldposface	45M_HO.bmp	3	1	7	2000																																																
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-04T22:00:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1326562158770</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-04T22:00:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v3-KGRR3WRJ-1	1.0.0.427	Verdana	1	Right	60.004	KGRR3WRJ	2	1	-582322568	3	Professional	2.0.10.356	2.0.10.356	03-04-2018		17:00:43	REC Stimuli\	2.0.10.252	000	8	1000	-16	150900	16	149916	0	149901																																						1000	4	146921	16	146916	984	146903	RecMemTrialsPROC	6		v3ProcList	1	1	2000	0	149900	0	147900	2016	1	1661	149561	146924	oldplace	PL_003_92016.bmp	3	1	8	3000																																																
Emo_Nback_RecMem_CDbox_20160815	1	1	12	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-04T22:00:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1326562158770</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-04T22:00:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Emo_Nback_RecMem_CDbox_20160815_v3-KGRR3WRJ-1	1.0.0.427	Verdana	1	Right	60.004	KGRR3WRJ	2	1	-582322568	3	Professional	2.0.10.356	2.0.10.356	03-04-2018		17:00:43	REC Stimuli\	2.0.10.252	000	9	1000	-17	154916	17	153933	0	153917																																						1000	4	150921	16	150916	1000	150903	RecMemTrialsPROC	7		v3ProcList	1	1	2000	0	153916	16	151916	2017	1	1209	153125	150924	oldnegface	HM05_FO.bmp	3	1	9	4000																																																
