C:\Users\FABLabLaptop3\Desktop\exports\NDAR_INVT9UU6CM8\Emo_Nback_Behavioral_20161208_v2-T9UU6CM8-2.edat2
ExperimentName	Subject	Session	Allowed	Clock.Information	ConsecNonResp[Session]	ConsecRTLess200[Session]	DataFile.Basename	ExperimentVersion	FontStyle	Group	Handedness	Main.RefreshRate	NARGUID	Nontarget	RandomSeed	RunNumber	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	RunTrialNumber[Session]	SessionDate	SessionStartDateTimeUtc	SessionTime	StimuliDir	StudioVersion	SUBID	Target	TotalRespGreater200[Session]	TrialsPerRun[Session]	triggercode	Block	BlockType	ConsecNonResp[Block]	ConsecRTLess200[Block]	ConsecSameResp	ControlAcc	CorrectResponse	Cue2Back.Duration	Cue2Back.DurationError	Cue2Back.FinishTime	Cue2Back.OffsetDelay	Cue2Back.OffsetTime	Cue2Back.OnsetDelay	Cue2Back.OnsetTime	Cue2Back.OnsetToOnsetTime	Cue2Back.StartTime	CueFix.Duration	CueFix.DurationError	CueFix.FinishTime	CueFix.OffsetDelay	CueFix.OffsetTime	CueFix.OnsetDelay	CueFix.OnsetTime	CueFix.OnsetToOnsetTime	CueFix.RTTime	CueFix.StartTime	CueTarget.Duration	CueTarget.DurationError	CueTarget.FinishTime	CueTarget.OffsetDelay	CueTarget.OffsetTime	CueTarget.OnsetDelay	CueTarget.OnsetTime	CueTarget.OnsetToOnsetTime	CueTarget.StartTime	Fix.Duration	Fix.DurationError	Fix.FinishTime	Fix.OffsetDelay	Fix.OffsetTime	Fix.OnsetDelay	Fix.OnsetTime	Fix.OnsetToOnsetTime	Fix.StartTime	Fix15sec.Duration	Fix15sec.DurationError	Fix15sec.FinishTime	Fix15sec.OffsetDelay	Fix15sec.OffsetTime	Fix15sec.OnsetDelay	Fix15sec.OnsetTime	Fix15sec.OnsetToOnsetTime	Fix15sec.StartTime	Procedure[Block]	Run4Block1	Run4Block2	Run4Block3	Run4Block4	Run4Block5	Run4Block6	Run4Block7	Run4Block8	Running[Block]	RunTrialNumber[Block]	Stim.ACC	Stim.CRESP	Stim.Duration	Stim.DurationError	Stim.FinishTime	Stim.OffsetDelay	Stim.OffsetTime	Stim.OnsetDelay	Stim.OnsetTime	Stim.OnsetToOnsetTime	Stim.RESP	Stim.RT	Stim.RTTime	Stim.StartTime	StimType	Stimulus	TargetType	TotalRespGreater200[Block]	TrialsPerRun[Block]	v2ProcList	v2ProcList.Cycle	v2ProcList.Sample	Trial	GetReady2.DurationError	GetReady2.OffsetDelay	GetReady2.OffsetTime	GetReady2.OnsetDelay	GetReady2.OnsetTime	GetReady2.OnsetToOnsetTime	GetReady2.RTTime	Procedure[Trial]	Running[Trial]	Waiting4Scanner2	Waiting4Scanner2.Cycle	Waiting4Scanner2.Sample
Emo_Nback_Behavioral_20161208	1	2	12{LEFTARROW}{RIGHTARROW}	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-04T16:52:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1287460707579</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-04T16:52:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	0	0	Emo_Nback_Behavioral_20161208_v2-T9UU6CM8-2	1.0.0.1193	Verdana	1	Right	60.004	T9UU6CM8	2,{RIGHTARROW}	-1029040453	2	Professional	2.0.10.356	2.0.10.356	1	03-04-2018	3/4/2018 4:52:43 PM	11:52:43	WM Stimuli\	2.0.10.252	000	1,{LEFTARROW}	0	160	{^}{SPACE}57{=}	1																																																					TRSyncPROCR2									v2ProcList																					23	1	1	1	-999999	-999999	29344	28	25459	0	29344	WaitScreen2	Waiting4Scanner2	1	1	1
Emo_Nback_Behavioral_20161208	1	2	12{LEFTARROW}{RIGHTARROW}	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-04T16:52:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1287460707579</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-04T16:52:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	0	0	Emo_Nback_Behavioral_20161208_v2-T9UU6CM8-2	1.0.0.1193	Verdana	1	Right	60.004	T9UU6CM8	2,{RIGHTARROW}	-1029040453	2	Professional	2.0.10.356	2.0.10.356	1	03-04-2018	3/4/2018 4:52:43 PM	11:52:43	WM Stimuli\	2.0.10.252	000	1,{LEFTARROW}	0	160	{^}{SPACE}57{=}	2																500	-31	29744	0	29744	31	29375	500	0	29349	2500	-31	32244	0	32244	31	29875	0	29818																			Cue0BackPROC									v2ProcList																	LM242_NC.bmp				24	1	2													
Emo_Nback_Behavioral_20161208	1	2	12{LEFTARROW}{RIGHTARROW}	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-04T16:52:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1287460707579</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-04T16:52:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	0	0	Emo_Nback_Behavioral_20161208_v2-T9UU6CM8-2	1.0.0.1193	Verdana	1	Right	60.004	T9UU6CM8	2,{RIGHTARROW}	-1029040453	2	Professional	2.0.10.356	2.0.10.356	1	03-04-2018	3/4/2018 4:52:43 PM	11:52:43	WM Stimuli\	2.0.10.252	000	1,{LEFTARROW}	0	160	{^}{SPACE}57{=}	3	0-Back	0	0	1	100	2,{RIGHTARROW}																													500	0	34758	0	34758	0	34358	0	34260										TrialsPROC	1								v2ProcList	2	1	2,{RIGHTARROW}	2000	0	34258	0	34258	14	32358	2000	2	1124	33482	32316	NeutFace	AM221_NC.bmp	nonlure	1	160	25	1	3													
Emo_Nback_Behavioral_20161208	1	2	12{LEFTARROW}{RIGHTARROW}	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-04T16:52:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1287460707579</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-04T16:52:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	0	0	Emo_Nback_Behavioral_20161208_v2-T9UU6CM8-2	1.0.0.1193	Verdana	1	Right	60.004	T9UU6CM8	2,{RIGHTARROW}	-1029040453	2	Professional	2.0.10.356	2.0.10.356	1	03-04-2018	3/4/2018 4:52:43 PM	11:52:43	WM Stimuli\	2.0.10.252	000	1,{LEFTARROW}	0	160	{^}{SPACE}57{=}	4	0-Back	0	0	2	100	2,{RIGHTARROW}																													500	0	37275	0	37275	0	36875	0	36777										TrialsPROC	2								v2ProcList	3	1	2,{RIGHTARROW}	2000	0	36775	0	36775	17	34875	2000	2	670	35545	34827	NeutFace	BF02_NC.bmp	nonlure	2	160	25	1	4													
Emo_Nback_Behavioral_20161208	1	2	12{LEFTARROW}{RIGHTARROW}	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-04T16:52:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1287460707579</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-04T16:52:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	0	0	Emo_Nback_Behavioral_20161208_v2-T9UU6CM8-2	1.0.0.1193	Verdana	1	Right	60.004	T9UU6CM8	2,{RIGHTARROW}	-1029040453	2	Professional	2.0.10.356	2.0.10.356	1	03-04-2018	3/4/2018 4:52:43 PM	11:52:43	WM Stimuli\	2.0.10.252	000	1,{LEFTARROW}	0	160	{^}{SPACE}57{=}	5	0-Back	1	0	2	67	2,{RIGHTARROW}																													500	0	39791	0	39791	0	39391	0	39292										TrialsPROC	3								v2ProcList	4	0	2,{RIGHTARROW}	2000	0	39291	0	39291	16	37391	2000	1	692	38083	37351	NeutFace	WF223_NC.bmp	nonlure	2	160	25	1	5													
Emo_Nback_Behavioral_20161208	1	2	12{LEFTARROW}{RIGHTARROW}	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-04T16:52:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1287460707579</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-04T16:52:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	0	0	Emo_Nback_Behavioral_20161208_v2-T9UU6CM8-2	1.0.0.1193	Verdana	1	Right	60.004	T9UU6CM8	2,{RIGHTARROW}	-1029040453	2	Professional	2.0.10.356	2.0.10.356	1	03-04-2018	3/4/2018 4:52:43 PM	11:52:43	WM Stimuli\	2.0.10.252	000	1,{LEFTARROW}	0	160	{^}{SPACE}57{=}	6	0-Back	0	0	1	75	2,{RIGHTARROW}																													500	0	42291	0	42291	0	41891	0	41793										TrialsPROC	4								v2ProcList	5	1	2,{RIGHTARROW}	2000	0	41791	0	41791	0	39891	2000	2	202	40093	39796	NeutFace	AM221_NC.bmp	lure	3	160	25	1	6													
Emo_Nback_Behavioral_20161208	1	2	12{LEFTARROW}{RIGHTARROW}	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-04T16:52:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1287460707579</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-04T16:52:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	0	0	Emo_Nback_Behavioral_20161208_v2-T9UU6CM8-2	1.0.0.1193	Verdana	1	Right	60.004	T9UU6CM8	2,{RIGHTARROW}	-1029040453	2	Professional	2.0.10.356	2.0.10.356	1	03-04-2018	3/4/2018 4:52:43 PM	11:52:43	WM Stimuli\	2.0.10.252	000	1,{LEFTARROW}	0	160	{^}{SPACE}57{=}	7	0-Back	0	0	2	80	2,{RIGHTARROW}																													500	0	44791	0	44791	0	44391	0	44293										TrialsPROC	5								v2ProcList	6	1	2,{RIGHTARROW}	2000	0	44291	0	44291	0	42391	2000	2	838	43229	42367	NeutFace	AF201_NC.bmp	nonlure	4	160	25	1	7													
Emo_Nback_Behavioral_20161208	1	2	12{LEFTARROW}{RIGHTARROW}	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-04T16:52:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1287460707579</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-04T16:52:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	0	0	Emo_Nback_Behavioral_20161208_v2-T9UU6CM8-2	1.0.0.1193	Verdana	1	Right	60.004	T9UU6CM8	2,{RIGHTARROW}	-1029040453	2	Professional	2.0.10.356	2.0.10.356	1	03-04-2018	3/4/2018 4:52:43 PM	11:52:43	WM Stimuli\	2.0.10.252	000	1,{LEFTARROW}	0	160	{^}{SPACE}57{=}	8	0-Back	0	0	3	67	1,{LEFTARROW}																													500	0	47291	0	47291	0	46891	0	46793										TrialsPROC	6								v2ProcList	7	0	1,{LEFTARROW}	2000	0	46791	0	46791	0	44891	2000	2	360	45251	44796	NeutFace	LM242_NC.bmp	target	5	160	25	1	8													
Emo_Nback_Behavioral_20161208	1	2	12{LEFTARROW}{RIGHTARROW}	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-04T16:52:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1287460707579</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-04T16:52:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	0	0	Emo_Nback_Behavioral_20161208_v2-T9UU6CM8-2	1.0.0.1193	Verdana	1	Right	60.004	T9UU6CM8	2,{RIGHTARROW}	-1029040453	2	Professional	2.0.10.356	2.0.10.356	1	03-04-2018	3/4/2018 4:52:43 PM	11:52:43	WM Stimuli\	2.0.10.252	000	1,{LEFTARROW}	0	160	{^}{SPACE}57{=}	9	0-Back	0	0	4	71	2,{RIGHTARROW}																													500	-16	49791	0	49791	16	49407	0	49293										TrialsPROC	7								v2ProcList	8	1	2,{RIGHTARROW}	2000	0	49291	0	49291	0	47391	2016	2	1254	48645	47296	NeutFace	WF223_NC.bmp	lure	6	160	25	1	9													
Emo_Nback_Behavioral_20161208	1	2	12{LEFTARROW}{RIGHTARROW}	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-03-04T16:52:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2115884</Frequency><Timestamp dt:dt="r8">1287460707579</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-03-04T16:52:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	0	0	Emo_Nback_Behavioral_20161208_v2-T9UU6CM8-2	1.0.0.1193	Verdana	1	Right	60.004	T9UU6CM8	2,{RIGHTARROW}	-1029040453	2	Professional	2.0.10.356	2.0.10.356	1	03-04-2018	3/4/2018 4:52:43 PM	11:52:43	WM Stimuli\	2.0.10.252	000	1,{LEFTARROW}	0	160	{^}{SPACE}57{=}	10	0-Back	0	0	5	75	2,{RIGHTARROW}																													500	0	52307	0	52307	0	51907	0	51809										TrialsPROC	8								v2ProcList	9	1	2,{RIGHTARROW}	2000	0	51807	0	51807	16	49907	2000	2	594	50501	49869	NeutFace	30M_NC.bmp	nonlure	7	160	25	1	10													
