StimType,Stimulus,ResponseType,Trial,,,Stimuli/
newposface,Stimuli/PracticeRec4.bmp,,,PracticeRec4.bmp,,
oldposface,Stimuli/PracticeHO2.bmp,,,PracticeHO2.bmp,,
Break,Break,,,,,
newneutface,Stimuli/AM210_NC.bmp,new,1,,,AM210_NC.bmp
newplace,Stimuli/PL_041_LEXINGTON17.bmp,new,2,,,PL_041_LEXINGTON17.bmp
newplace,Stimuli/PL_043_LEXINGTON19.bmp,new,3,,,PL_043_LEXINGTON19.bmp
newnegface,Stimuli/BM023_FO.bmp,new,4,,,BM023_FO.bmp
oldposface,Stimuli/45M_HO.bmp,old,5,,,45M_HO.bmp
oldplace,Stimuli/PL_003_92016.bmp,old,6,,,PL_003_92016.bmp
oldnegface,Stimuli/HM05_FO.bmp,old,7,,,HM05_FO.bmp
oldneutface,Stimuli/LM207_NC.bmp,old,8,,,LM207_NC.bmp
newposface,Stimuli/29M_HO.bmp,new,9,,,29M_HO.bmp
oldneutface,Stimuli/7F_NC.bmp,old,10,,,7F_NC.bmp
oldplace,Stimuli/PL_004_92023.bmp,old,11,,,PL_004_92023.bmp
oldnegface,Stimuli/BF06_FO.bmp,old,12,,,BF06_FO.bmp
newplace,Stimuli/PL_047_SCENE04.bmp,new,13,,,PL_047_SCENE04.bmp
oldposface,Stimuli/AF02_HO.bmp,old,14,,,AF02_HO.bmp
newneutface,Stimuli/LF209_NC.bmp,new,15,,,LF209_NC.bmp
newneutface,Stimuli/WF02_NC.bmp,new,16,,,WF02_NC.bmp
newnegface,Stimuli/3F_FO.bmp,new,17,,,3F_FO.bmp
oldplace,Stimuli/PL_012_92047.bmp,old,18,,,PL_012_92047.bmp
newposface,Stimuli/13F_HO.bmp,new,19,,,13F_HO.bmp
oldposface,Stimuli/HF04_HO.bmp,old,20,,,HF04_HO.bmp
newplace,Stimuli/PL_044_SCENE01.bmp,new,21,,,PL_044_SCENE01.bmp
newnegface,Stimuli/BF10_FO.bmp,new,22,,,BF10_FO.bmp
oldnegface,Stimuli/28M_FO.bmp,old,23,,,28M_FO.bmp
oldneutface,Stimuli/BM03_NC.bmp,old,24,,,BM03_NC.bmp
newneutface,Stimuli/AF216_NC.bmp,new,25,,,AF216_NC.bmp
newposface,Stimuli/19F_HO.bmp,new,26,,,19F_HO.bmp
newnegface,Stimuli/WF034_FO.bmp,new,27,,,WF034_FO.bmp
oldplace,Stimuli/PL_001_92012.bmp,old,28,,,PL_001_92012.bmp
oldneutface,Stimuli/42M_NC.bmp,old,29,,,42M_NC.bmp
oldnegface,Stimuli/10F_FO.bmp,old,30,,,10F_FO.bmp
oldposface,Stimuli/BM08_HO.bmp,old,31,,,BM08_HO.bmp
newposface,Stimuli/HF02_HO.bmp,new,32,,,HF02_HO.bmp
newplace,Stimuli/PL_045_SCENE02.bmp,new,33,,,PL_045_SCENE02.bmp
newplace,Stimuli/PL_046_SCENE03.bmp,new,34,,,PL_046_SCENE03.bmp
oldnegface,Stimuli/17F_FO.bmp,old,35,,,17F_FO.bmp
newnegface,Stimuli/43M_FO.bmp,new,36,,,43M_FO.bmp
newneutface,Stimuli/BM04_NC.bmp,new,37,,,BM04_NC.bmp
oldposface,Stimuli/WM011_HO.bmp,old,38,,,WM011_HO.bmp
oldplace,Stimuli/PL_011_92044.bmp,old,39,,,PL_011_92044.bmp
oldneutface,Stimuli/LF227_NC.bmp,old,40,,,LF227_NC.bmp
oldneutface,Stimuli/AM228_NC.bmp,old,41,,,AM228_NC.bmp
oldposface,Stimuli/12F_HO.bmp,old,42,,,12F_HO.bmp
oldplace,Stimuli/PL_009_92037.bmp,old,43,,,PL_009_92037.bmp
newposface,Stimuli/BM06_HO.bmp,new,44,,,BM06_HO.bmp
