BlockType,TargetType,Stimulus,Stim_CRESP
Rec,newneutface,Stimuli/AF219_NC.bmp,New
Rec,newplace,Stimuli/PL_056_TUFTS02BW.bmp,New
Rec,oldneutface,Stimuli/AM228_NC.bmp,Old
Rec,oldplace,Stimuli/PL_001_92012.bmp,Old
Rec,newposface,Stimuli/AM01_HO.bmp,New
Rec,oldplace,Stimuli/PL_009_92037.bmp,Old
Rec,oldnegface,Stimuli/HM03_FO.bmp,Old
Rec,newnegface,Stimuli/BF04_FO.bmp,New
Rec,oldneutface,Stimuli/LF227_NC.bmp,Old
Rec,oldposface,Stimuli/12F_HO.bmp,Old
Rec,oldnegface,Stimuli/9F_FO.bmp,Old
Rec,newplace,Stimuli/PL_058_TUFTS07BW.bmp,New
Rec,oldposface,Stimuli/34M_HO.bmp,Old
Rec,newnegface,Stimuli/WM033_FO.bmp,New
Rec,newposface,Stimuli/BF005_HO.bmp,New
Rec,newneutface,Stimuli/LM216_NC.bmp,New
Rec,newneutface,Stimuli/WF01_NC.bmp,New
Rec,newplace,Stimuli/PL_060_TUFTS10BW.bmp,New
Rec,oldplace,Stimuli/PL_010_92038.bmp,Old
Rec,newposface,Stimuli/BM002_HO.bmp,New
Rec,newnegface,Stimuli/OM01_FO.bmp,New
Rec,oldnegface,Stimuli/39M_FO.bmp,Old
Rec,oldnegface,Stimuli/BM045_FO.bmp,Old
Rec,oldposface,Stimuli/BF037_HO.bmp,Old
Rec,newneutface,Stimuli/AM245_NC.bmp,New
Rec,oldneutface,Stimuli/AF218_NC.bmp,Old
Rec,newnegface,Stimuli/AF03_FO.bmp,New
Rec,newplace,Stimuli/PL_061_TUFTS11BW.bmp,New
Rec,oldplace,Stimuli/PL_003_92016.bmp,Old
Rec,newposface,Stimuli/HF03_HO.bmp,New
Rec,oldneutface,Stimuli/42M_NC.bmp,Old
Rec,oldposface,Stimuli/WM011_HO.bmp,Old
Rec,oldplace,Stimuli/PL_006_92025.bmp,Old
Rec,oldnegface,Stimuli/BF003_FO.bmp,Old
Rec,newneutface,Stimuli/21M_NC.bmp,New
