BlockType,TargetType,Stimulus,Stim_CRESP,Block,Run
Cue0Back,Faces,Stimuli/BF023_FO.bmp,target,1,1
0-Back,NegFace,Stimuli/6F_FO.bmp,nonlure,1,1
0-Back,NegFace,Stimuli/OM01_FO.bmp,nonlure,1,1
0-Back,NegFace,Stimuli/BF023_FO.bmp,target,1,1
0-Back,NegFace,Stimuli/OM01_FO.bmp,lure,1,1
0-Back,NegFace,Stimuli/WM033_FO.bmp,nonlure,1,1
0-Back,NegFace,Stimuli/BF023_FO.bmp,target,1,1
0-Back,NegFace,Stimuli/AF03_FO.bmp,nonlure,1,1
0-Back,NegFace,Stimuli/WM033_FO.bmp,lure,1,1
0-Back,NegFace,Stimuli/6F_FO.bmp,lure,1,1
0-Back,NegFace,Stimuli/24M_FO.bmp,nonlure,1,1
Cue2Back,Faces,,,2,1
2-Back,NeutFace,Stimuli/LM213_NC.bmp,nonlure,2,1
2-Back,NeutFace,Stimuli/AF219_NC.bmp,nonlure,2,1
2-Back,NeutFace,Stimuli/LM213_NC.bmp,target,2,1
2-Back,NeutFace,Stimuli/21M_NC.bmp,nonlure,2,1
2-Back,NeutFace,Stimuli/WF06_NC.bmp,nonlure,2,1
2-Back,NeutFace,Stimuli/AF219_NC.bmp,lure,2,1
2-Back,NeutFace,Stimuli/BM07_NC.bmp,nonlure,2,1
2-Back,NeutFace,Stimuli/21M_NC.bmp,lure,2,1
2-Back,NeutFace,Stimuli/BM07_NC.bmp,target,2,1
2-Back,NeutFace,Stimuli/BF208_NC.bmp,nonlure,2,1
Cue0Back,Faces,Stimuli/22M_HO.bmp,target,3,1
0-Back,PosFace,Stimuli/22M_HO.bmp,target,3,1
0-Back,PosFace,Stimuli/AM01_HO.bmp,nonlure,3,1
0-Back,PosFace,Stimuli/11F_HO.bmp,nonlure,3,1
0-Back,PosFace,Stimuli/22M_HO.bmp,target,3,1
0-Back,PosFace,Stimuli/11F_HO.bmp,lure,3,1
0-Back,PosFace,Stimuli/HF03_HO.bmp,nonlure,3,1
0-Back,PosFace,Stimuli/25M_HO.bmp,nonlure,3,1
0-Back,PosFace,Stimuli/BF005_HO.bmp,nonlure,3,1
0-Back,PosFace,Stimuli/AM01_HO.bmp,lure,3,1
0-Back,PosFace,Stimuli/HF03_HO.bmp,lure,3,1
Cue2Back,Faces,,,4,1
2-Back,NegFace,Stimuli/BF04_FO.bmp,nonlure,4,1
2-Back,NegFace,Stimuli/37M_FO.bmp,nonlure,4,1
2-Back,NegFace,Stimuli/37M_FO.bmp,lure,4,1
2-Back,NegFace,Stimuli/BF04_FO.bmp,lure,4,1
2-Back,NegFace,Stimuli/WM02_FO.bmp,nonlure,4,1
2-Back,NegFace,Stimuli/AM03_FO.bmp,nonlure,4,1
2-Back,NegFace,Stimuli/WF015_FO.bmp,nonlure,4,1
2-Back,NegFace,Stimuli/AM03_FO.bmp,target,4,1
