Condition,StimType,Stimulus,ResponseType,Block,Run
Cue0Back,Faces,Stimuli/HF02_HO.bmp,,1,1
0-Back,PosFace,Stimuli/29M_HO.bmp,nonlure,1,1
0-Back,PosFace,Stimuli/HF02_HO.bmp,target,1,1
0-Back,PosFace,Stimuli/13F_HO.bmp,nonlure,1,1
0-Back,PosFace,Stimuli/BM026_HO.bmp,nonlure,1,1
0-Back,PosFace,Stimuli/29M_HO.bmp,lure,1,1
0-Back,PosFace,Stimuli/WM01_HO.bmp,nonlure,1,1
0-Back,PosFace,Stimuli/WM01_HO.bmp,lure,1,1
0-Back,PosFace,Stimuli/WF03_HO.bmp,nonlure,1,1
0-Back,PosFace,Stimuli/HF02_HO.bmp,target,1,1
0-Back,PosFace,Stimuli/13F_HO.bmp,lure,1,1
Cue2Back,Places,,,2,1
2-Back,Place,Stimuli/PL_046_SCENE03.bmp,nonlure,2,1
2-Back,Place,Stimuli/PL_046_SCENE03.bmp,lure,2,1
2-Back,Place,Stimuli/PL_045_SCENE02.bmp,nonlure,2,1
2-Back,Place,Stimuli/PL_047_SCENE04.bmp,nonlure,2,1
2-Back,Place,Stimuli/PL_045_SCENE02.bmp,target,2,1
2-Back,Place,Stimuli/PL_049_SCENE06.bmp,nonlure,2,1
2-Back,Place,Stimuli/PL_048_SCENE05.bmp,nonlure,2,1
2-Back,Place,Stimuli/PL_047_SCENE04.bmp,lure,2,1
2-Back,Place,Stimuli/PL_048_SCENE05.bmp,target,2,1
2-Back,Place,Stimuli/PL_050_SCENE07.bmp,nonlure,2,1
Cue2Back,Faces,,,3,1
2-Back,PosFace,Stimuli/BF016_HO.bmp,nonlure,3,1
2-Back,PosFace,Stimuli/32M_HO.bmp,nonlure,3,1
2-Back,PosFace,Stimuli/BF016_HO.bmp,target,3,1
2-Back,PosFace,Stimuli/BM06_HO.bmp,nonlure,3,1
2-Back,PosFace,Stimuli/BM06_HO.bmp,lure,3,1
2-Back,PosFace,Stimuli/32M_HO.bmp,lure,3,1
2-Back,PosFace,Stimuli/WF007_HO.bmp,nonlure,3,1
2-Back,PosFace,Stimuli/20M_HO.bmp,nonlure,3,1
2-Back,PosFace,Stimuli/19F_HO.bmp,nonlure,3,1
2-Back,PosFace,Stimuli/20M_HO.bmp,target,3,1
Cue0Back,Places,Stimuli/PL_040_LEXINGTON16.bmp,,4,1
0-Back,Place,Stimuli/PL_041_LEXINGTON17.bmp,nonlure,4,1
0-Back,Place,Stimuli/PL_044_SCENE01.bmp,nonlure,4,1
0-Back,Place,Stimuli/PL_040_LEXINGTON16.bmp,target,4,1
0-Back,Place,Stimuli/PL_040_LEXINGTON16.bmp,target,4,1
