TargetType,Run,Stimulus,RunTrialNumber_Block,StimType,BlockType,Stim_CRESP,Block,nBack.thisRepN,nBack.thisTrialN,nBack.thisN,nBack.thisIndex,Stim.RESP,Stim.RT,Stim.CRESP,CueFix.FinishTime,Cue2Back.StartTime,Cue2Back.FinishTime,Cue2Back.OffsetTime,CueFix.StartTime,CueFix.OnsetTime,CueFix.OffsetTime,Cue2Back.Duration,Cue2Back.OnsetTime,CueFix.Duration,Stim.ACC,Stim.StartTime,Stim.FinishTime,Stim.Duration,Stim.OnsetTime,Fix.StartTime,Stim.RTTime,Stim.OffsetTime,Fix.OnsetTime,Fix.Duration,Fix.OffsetTime,Fix.FinishTime,CueTarget.OnsetTime,CueTarget.OffsetTime,CueTarget.StartTime,CueTarget.FinishTime,CueTarget.Duration,Fix15sec.OnsetTime,Fix15sec.Duration,Fix15sec.FinishTime,Fix15sec.StartTime,Fix15sec.OffsetTime,FontStyle,Group,Handedness,NARGUID,SUBID,triggercode,TotalRespGreater200[Session],Version,SessionTime,RuntimeCapabilities,SessionStart,Run,ConsecNonResp[Session],StudioVersion,ExperimentName,ConsecRTLess200[Session],SessionDate,Main.RefreshRate,DataFile.Basename,Target,RunNumber,Nontarget,date,RuntimeVersionExpected,Debugging,ExperimentVersion,RuntimeVersion,TrialsPerRun[Session],Session,Allowed,StimuliDir,Subject,
"",All,"","",Faces,Cue2Back,"",1.0,0,0,0,0,,0,"",2704,2704,5198,5198,2194,2194,2704,2500,2704,500,,,,,,,,,,,,,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
nonlure,All,23M_HO.bmp,2,PosFace,2-Back,No Match,1.0,0,1,1,1,,0,No Match,,,,,,,,,,,0,5204,7193,2000,5205,7193,0,7193,7193,500,7692,7692,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
nonlure,All,12F_HO.bmp,3,PosFace,2-Back,No Match,1.0,0,2,2,2,,0,No Match,,,,,,,,,,,0,7698,9704,2000,7699,9704,0,9704,9704,500,10202,10202,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
nonlure,All,AF02_HO.bmp,4,PosFace,2-Back,No Match,1.0,0,3,3,3,,0,No Match,,,,,,,,,,,0,10208,12198,2000,10208,12198,0,12197,12198,500,12696,12696,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
target,All,12F_HO.bmp,5,PosFace,2-Back,Match,1.0,0,4,4,4,,0,Match,,,,,,,,,,,0,12702,14692,2000,12703,14692,0,14692,14692,500,15190,15190,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
nonlure,All,WM011_HO.bmp,6,PosFace,2-Back,No Match,1.0,0,5,5,5,,0,No Match,,,,,,,,,,,0,15196,17202,2000,15197,17202,0,17202,17203,500,17701,17701,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
nonlure,All,HM04_HO.bmp,7,PosFace,2-Back,No Match,1.0,0,6,6,6,,0,No Match,,,,,,,,,,,0,17709,19697,2000,17710,19697,0,19697,19697,500,20195,20195,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
lure,All,AF02_HO.bmp,8,PosFace,2-Back,No Match,1.0,0,7,7,7,,0,No Match,,,,,,,,,,,0,20201,22191,2000,20202,22191,0,22191,22191,500,22706,22706,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
nonlure,All,BF037_HO.bmp,9,PosFace,2-Back,No Match,1.0,0,8,8,8,,0,No Match,,,,,,,,,,,0,22713,24702,2000,22714,24702,0,24702,24702,500,25200,25200,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
lure,All,WM011_HO.bmp,10,PosFace,2-Back,No Match,1.0,0,9,9,9,,0,No Match,,,,,,,,,,,0,25206,27196,2000,25206,27196,0,27196,27196,500,27694,27694,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
