Stimulus,TargetType,BlockType,Trial_Number,Stim_CRESP,Faces0Back.thisRepN,Faces0Back.thisTrialN,Faces0Back.thisN,Faces0Back.thisIndex,Places0Back.thisRepN,Places0Back.thisTrialN,Places0Back.thisN,Places0Back.thisIndex,experimentTime,Stim.RESP,Stim.RT,Stim.CRESP,CueTarget.OnsetTime,CueTarget.OffsetTime,CueFix.FinishTime,CueTarget.StartTime,CueTarget.FinishTime,CueFix.StartTime,CueFix.OnsetTime,CueFix.OffsetTime,CueTarget.Duration,CueFix.Duration,Stim.ACC,Stim.StartTime,Stim.FinishTime,Stim.Duration,Stim.OnsetTime,Fix.StartTime,Stim.RTTime,Stim.OffsetTime,Fix.OnsetTime,Fix.Duration,Fix.OffsetTime,Fix.FinishTime,Allowed,DataFile.Basename,Group,Target,FontStyle,RunNumber,Handedness,NARGUID,SUBID,SessionDate,Version,SessionTime,RuntimeCapabilities,Clock.Information,date,RuntimeVersion,SessionStart,ExperimentName,TrialsPerRun[Session],Debugging,Run,ExperimentVersion,ConsecNonResp[Session],TotalRespGreater200[Session],Nontarget,StudioVersion,Session,RuntimeVersionExpected,ConsecRTLess200[Session],Goggles,StimuliDir,Time Point,Main.RefreshRate,Subject,
PracticeNC1.bmp,Faces,Cue0Back,1,Target,0,0,0,0,,,,,3.0157968998,,0,Target,5233,7732,5233,5233,7732,4726,4726,5233,2500,500,,,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:50:20,Professional,0,2018-08-01_135020,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.7054800078,1,
PracticeNC2.bmp,NeutFace,0Back,2,No Match,0,1,1,1,,,,,,,0,No Match,,,,,,,,,,,0,7739,9733,2000,7739,9733,0,9733,9734,500,10233,10233,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:50:20,Professional,0,2018-08-01_135020,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.7054800078,1,
PracticeNC1.bmp,NeutFace,0Back,3,Match,0,2,2,2,,,,,,,0,Match,,,,,,,,,,,0,11738,13734,2000,11738,13734,0,13734,13734,500,14234,14234,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:50:20,Professional,0,2018-08-01_135020,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.7054800078,1,
PracticeNC3.bmp,NeutFace,0Back,4,No Match,0,3,3,3,,,,,,,0,No Match,,,,,,,,,,,0,15738,17735,2000,15738,17735,0,17735,17735,500,18234,18234,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:50:20,Professional,0,2018-08-01_135020,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.7054800078,1,
PracticeNC2.bmp,NeutFace,0Back,5,No Match,0,4,4,4,,,,,,,0,No Match,,,,,,,,,,,0,19739,21735,2000,19739,21735,0,21735,21735,500,22235,22235,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:50:20,Professional,0,2018-08-01_135020,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.7054800078,1,
PracticeNC1.bmp,NeutFace,0Back,6,Match,0,5,5,5,,,,,,,0,Match,,,,,,,,,,,0,23739,25735,2000,23739,25735,0,25735,25735,500,26235,26235,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:50:20,Professional,0,2018-08-01_135020,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.7054800078,1,
Place1.bmp,Place,Cue0Back,1,Target,,,,,0,0,0,0,,,0,Target,34287,36787,34287,34287,36787,33773,33773,34287,2500,500,,,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:50:20,Professional,0,2018-08-01_135020,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.7054800078,1,
Place1.bmp,Place,0Back,2,Match,,,,,0,1,1,1,,,0,Match,,,,,,,,,,,0,36793,38771,2000,36793,38771,0,38771,38771,500,39271,39271,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:50:20,Professional,0,2018-08-01_135020,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.7054800078,1,
Place3.bmp,Place,0Back,3,No Match,,,,,0,2,2,2,,,0,No Match,,,,,,,,,,,0,40775,42771,2000,40775,42771,0,42771,42771,500,43271,43271,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:50:20,Professional,0,2018-08-01_135020,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.7054800078,1,
Place5.bmp,Place,0Back,4,No Match,,,,,0,3,3,3,,,0,No Match,,,,,,,,,,,0,44775,46772,2000,44775,46772,0,46772,46772,500,47272,47272,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:50:20,Professional,0,2018-08-01_135020,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.7054800078,1,
