ExperimentName,Subject,Session,Allowed,Clock.Information,ConsecNonResp[Session],ConsecRTLess200[Session],DataFile.Basename,ExperimentVersion,FontStyle,Group,Handedness,Main.RefreshRate,NARGUID,Nontarget,RunNumber,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionTime,StimuliDir,StudioVersion,SUBID,Target,TotalRespGreater200[Session],TrialsPerRun[Session],triggercode,Block,BlockType,Cue2Back.Duration,Cue2Back.FinishTime,Cue2Back.OffsetTime,Cue2Back.OnsetTime,Cue2Back.StartTime,CueFix.Duration,CueFix.FinishTime,CueFix.OffsetTime,CueFix.OnsetTime,CueFix.StartTime,CueTarget.Duration,CueTarget.FinishTime,CueTarget.OffsetTime,CueTarget.OnsetTime,CueTarget.StartTime,Fix.Duration,Fix.FinishTime,Fix.OffsetTime,Fix.OnsetTime,Fix.StartTime,Fix15sec.Duration,Fix15sec.FinishTime,Fix15sec.OffsetTime,Fix15sec.OnsetTime,Fix15sec.StartTime,Stim.ACC,Stim.CRESP,Stim.Duration,Stim.FinishTime,Stim.OffsetTime,Stim.OnsetTime,Stim.RESP,Stim.RT,Stim.RTTime,Stim.StartTime,StimType,Stimulus,TargetType
Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.2729473979,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,06/25/2018,22:10:20,Stimuli/,2.0.10.252,0,1,0,160,['space'],1.0,Cue2Back,2500.0,8556.0,8556.0,6057.0,6057.0,500.0,6057.0,6057.0,5545.0,5545.0,,,,,,,,,,,,,,,,,,,,,,,0,,,Faces,,
Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.2729473979,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,06/25/2018,22:10:20,Stimuli/,2.0.10.252,0,1,0,160,['space'],1.0,2-Back,,,,,,,,,,,,,,,,500.0,11057.0,11056.0,10557.0,10557.0,,,,,,0.0,No Match,2000.0,10557.0,10557.0,8562.0,,0,0.0,8562.0,PosFace,23M_HO.bmp,nonlure
Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.2729473979,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,06/25/2018,22:10:20,Stimuli/,2.0.10.252,0,1,0,160,['space'],1.0,2-Back,,,,,,,,,,,,,,,,500.0,13555.0,13555.0,13057.0,13057.0,,,,,,0.0,No Match,2000.0,13057.0,13057.0,11062.0,,0,0.0,11062.0,PosFace,12F_HO.bmp,nonlure
Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.2729473979,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,06/25/2018,22:10:20,Stimuli/,2.0.10.252,0,1,0,160,['space'],1.0,2-Back,,,,,,,,,,,,,,,,500.0,16056.0,16056.0,15557.0,15557.0,,,,,,0.0,No Match,2000.0,15557.0,15557.0,13559.0,,0,0.0,13559.0,PosFace,AF02_HO.bmp,nonlure
Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.2729473979,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,06/25/2018,22:10:20,Stimuli/,2.0.10.252,0,1,0,160,['space'],1.0,2-Back,,,,,,,,,,,,,,,,500.0,18556.0,18556.0,18057.0,18057.0,,,,,,0.0,Match,2000.0,18057.0,18057.0,16061.0,,0,0.0,16060.0,PosFace,12F_HO.bmp,target
Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.2729473979,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,06/25/2018,22:10:20,Stimuli/,2.0.10.252,0,1,0,160,['space'],1.0,2-Back,,,,,,,,,,,,,,,,500.0,21057.0,21057.0,20542.0,20542.0,,,,,,0.0,No Match,2000.0,20542.0,20542.0,18561.0,,0,0.0,18561.0,PosFace,WM011_HO.bmp,nonlure
Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.2729473979,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,06/25/2018,22:10:20,Stimuli/,2.0.10.252,0,1,0,160,['space'],1.0,2-Back,,,,,,,,,,,,,,,,500.0,23557.0,23557.0,23043.0,23043.0,,,,,,0.0,No Match,2000.0,23043.0,23042.0,21062.0,,0,0.0,21062.0,PosFace,HM04_HO.bmp,nonlure
Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.2729473979,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,06/25/2018,22:10:20,Stimuli/,2.0.10.252,0,1,0,160,['space'],1.0,2-Back,,,,,,,,,,,,,,,,500.0,26058.0,26058.0,25558.0,25558.0,,,,,,0.0,No Match,2000.0,25558.0,25558.0,23562.0,,0,0.0,23561.0,PosFace,AF02_HO.bmp,lure
Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.2729473979,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,06/25/2018,22:10:20,Stimuli/,2.0.10.252,0,1,0,160,['space'],1.0,2-Back,,,,,,,,,,,,,,,,500.0,28558.0,28558.0,28042.0,28042.0,,,,,,0.0,No Match,2000.0,28042.0,28042.0,26063.0,,0,0.0,26062.0,PosFace,BF037_HO.bmp,nonlure
Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.2729473979,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,06/25/2018,22:10:20,Stimuli/,2.0.10.252,0,1,0,160,['space'],1.0,2-Back,,,,,,,,,,,,,,,,500.0,31043.0,31043.0,30543.0,30543.0,,,,,,0.0,No Match,2000.0,30543.0,30543.0,28563.0,,0,0.0,28562.0,PosFace,WM011_HO.bmp,lure
